,geo_h3_10,city,primary,primary_link,secondary,secondary_link,tertiary,residential,motorway,unclassified
194,8a0bb022004ffff,Новосибирск,0,0,0,0,0,1,0,0
195,8a0bb0220057fff,Новосибирск,0,0,0,0,0,2,0,1
196,8a0bb022005ffff,Новосибирск,0,0,0,0,0,1,0,0
197,8a0bb022008ffff,Новосибирск,0,0,0,0,0,0,0,0
198,8a0bb022009ffff,Новосибирск,0,0,0,0,0,2,0,0
199,8a0bb02200c7fff,Новосибирск,0,0,0,0,0,1,0,0
200,8a0bb02200cffff,Новосибирск,0,0,0,0,0,0,0,0
201,8a0bb02200d7fff,Новосибирск,0,0,0,0,0,0,0,0
202,8a0bb02200dffff,Новосибирск,0,0,0,0,0,1,0,0
203,8a0bb02200e7fff,Новосибирск,0,0,0,0,0,0,0,0
204,8a0bb02200effff,Новосибирск,0,0,0,0,0,0,0,0
205,8a0bb02200f7fff,Новосибирск,0,0,0,0,0,1,0,0
206,8a0bb022020ffff,Новосибирск,0,0,0,0,0,0,0,0
207,8a0bb0220217fff,Новосибирск,0,0,0,0,0,0,0,1
208,8a0bb0220227fff,Новосибирск,0,0,0,0,0,0,0,0
209,8a0bb022022ffff,Новосибирск,0,0,0,0,0,0,0,2
210,8a0bb0220237fff,Новосибирск,0,0,0,0,0,0,0,0
211,8a0bb0220247fff,Новосибирск,0,0,0,0,0,0,0,0
212,8a0bb0220257fff,Новосибирск,0,0,0,0,0,0,0,0
213,8a0bb0220267fff,Новосибирск,0,0,0,0,0,0,0,0
214,8a0bb022026ffff,Новосибирск,0,0,0,0,0,0,0,0
215,8a0bb0220277fff,Новосибирск,0,0,0,0,0,0,0,0
216,8a0bb02202a7fff,Новосибирск,0,0,0,0,0,0,0,0
217,8a0bb02202b7fff,Новосибирск,0,0,0,0,0,0,0,0
218,8a0bb0220307fff,Новосибирск,0,0,0,0,0,0,0,0
219,8a0bb022030ffff,Новосибирск,0,0,0,0,0,0,0,0
220,8a0bb0220317fff,Новосибирск,0,0,0,0,0,1,0,0
221,8a0bb022031ffff,Новосибирск,0,0,0,0,0,0,0,0
222,8a0bb022032ffff,Новосибирск,0,0,0,0,0,0,0,0
223,8a0bb0220347fff,Новосибирск,0,0,0,0,0,0,0,0
224,8a0bb0220357fff,Новосибирск,0,0,0,0,0,0,0,0
225,8a0bb022035ffff,Новосибирск,0,0,0,0,0,0,0,2
226,8a0bb0220367fff,Новосибирск,0,0,0,0,0,0,0,0
227,8a0bb022036ffff,Новосибирск,0,0,0,0,0,0,0,0
228,8a0bb0220377fff,Новосибирск,0,0,0,0,0,0,0,0
229,8a0bb0220387fff,Новосибирск,0,0,0,0,0,0,0,0
230,8a0bb022038ffff,Новосибирск,0,0,0,0,0,0,0,0
231,8a0bb0220397fff,Новосибирск,0,0,0,0,0,0,0,5
232,8a0bb022039ffff,Новосибирск,0,0,0,0,0,0,0,0
233,8a0bb02203a7fff,Новосибирск,0,0,0,0,0,0,0,0
234,8a0bb02203affff,Новосибирск,0,0,0,0,0,0,0,0
235,8a0bb02203b7fff,Новосибирск,0,0,0,0,0,1,0,0
236,8a0bb022040ffff,Новосибирск,0,0,0,0,0,1,0,0
237,8a0bb0220417fff,Новосибирск,0,0,0,0,0,1,0,0
238,8a0bb022041ffff,Новосибирск,0,0,0,0,0,1,0,0
239,8a0bb0220447fff,Новосибирск,0,0,0,0,0,5,0,0
240,8a0bb022044ffff,Новосибирск,0,0,0,0,0,1,0,0
241,8a0bb0220457fff,Новосибирск,0,0,0,0,0,0,0,0
242,8a0bb022045ffff,Новосибирск,0,0,0,0,0,8,0,0
243,8a0bb022046ffff,Новосибирск,0,0,0,0,0,0,0,0
244,8a0bb0220477fff,Новосибирск,0,0,0,0,0,0,0,0
245,8a0bb0220487fff,Новосибирск,0,0,0,0,0,4,0,0
246,8a0bb022048ffff,Новосибирск,0,0,0,0,0,3,0,0
247,8a0bb0220497fff,Новосибирск,0,0,0,0,0,4,0,0
248,8a0bb022049ffff,Новосибирск,0,0,0,0,0,7,0,0
249,8a0bb02204a7fff,Новосибирск,0,0,0,0,0,0,0,0
250,8a0bb02204affff,Новосибирск,0,0,0,0,0,6,0,0
251,8a0bb02204b7fff,Новосибирск,0,0,0,0,0,0,0,0
252,8a0bb02204c7fff,Новосибирск,0,0,0,0,0,7,0,0
253,8a0bb02204cffff,Новосибирск,0,0,0,0,0,0,0,0
254,8a0bb02204d7fff,Новосибирск,0,0,0,0,0,3,0,0
255,8a0bb02204e7fff,Новосибирск,0,0,0,0,0,2,0,0
256,8a0bb02204effff,Новосибирск,0,0,0,0,0,2,0,0
257,8a0bb02204f7fff,Новосибирск,0,0,0,0,0,0,0,0
258,8a0bb0220707fff,Новосибирск,0,0,0,0,0,2,0,0
259,8a0bb0220717fff,Новосибирск,0,0,0,0,0,0,0,0
260,8a0bb0220727fff,Новосибирск,0,0,0,0,0,2,0,0
261,8a0bb022072ffff,Новосибирск,0,0,0,0,0,0,0,0
262,8a0bb0220737fff,Новосибирск,0,0,0,0,0,0,0,0
263,8a0bb0220747fff,Новосибирск,0,0,0,0,0,0,0,0
264,8a0bb0220767fff,Новосибирск,0,0,0,0,0,0,0,4
265,8a0bb0220777fff,Новосибирск,0,0,0,0,0,0,0,0
266,8a0bb02207a7fff,Новосибирск,0,0,0,0,0,4,0,0
267,8a0bb02207b7fff,Новосибирск,0,0,0,0,0,1,0,0
268,8a0bb0220a0ffff,Новосибирск,0,0,0,0,0,0,0,0
269,8a0bb0220a1ffff,Новосибирск,0,0,0,0,0,1,0,0
270,8a0bb0220a47fff,Новосибирск,0,0,0,0,0,4,0,1
271,8a0bb0220a57fff,Новосибирск,0,0,0,0,0,1,0,0
272,8a0bb0220a67fff,Новосибирск,0,0,0,0,0,0,0,0
273,8a0bb0220a6ffff,Новосибирск,0,0,0,0,0,0,0,0
274,8a0bb0220a77fff,Новосибирск,0,0,0,0,0,1,0,1
275,8a0bb0220a8ffff,Новосибирск,0,0,0,0,0,2,0,0
276,8a0bb0220a9ffff,Новосибирск,0,0,0,0,0,0,0,0
277,8a0bb0220aaffff,Новосибирск,0,0,0,0,0,2,0,0
278,8a0bb0220adffff,Новосибирск,0,0,0,0,0,0,0,0
279,8a0bb0220ae7fff,Новосибирск,0,0,0,0,0,1,0,0
280,8a0bb0220af7fff,Новосибирск,0,0,0,0,0,5,0,0
281,8a0bb0221117fff,Новосибирск,0,0,0,0,0,1,0,0
282,8a0bb0221127fff,Новосибирск,0,0,0,0,0,1,0,0
283,8a0bb0221137fff,Новосибирск,0,0,0,0,0,8,0,0
284,8a0bb0221167fff,Новосибирск,0,0,0,0,1,1,0,0
285,8a0bb02211a7fff,Новосибирск,0,0,0,0,0,0,0,0
286,8a0bb0221207fff,Новосибирск,0,0,0,0,0,1,0,0
287,8a0bb022120ffff,Новосибирск,0,0,0,0,0,4,0,0
288,8a0bb0221217fff,Новосибирск,0,0,0,0,0,1,0,0
289,8a0bb022121ffff,Новосибирск,0,0,0,0,0,3,0,0
290,8a0bb0221227fff,Новосибирск,0,0,0,0,0,0,0,0
291,8a0bb022122ffff,Новосибирск,0,0,0,0,0,1,0,0
292,8a0bb0221237fff,Новосибирск,0,0,0,0,0,0,0,0
293,8a0bb0221247fff,Новосибирск,0,0,0,0,0,5,0,0
294,8a0bb022124ffff,Новосибирск,0,0,0,0,0,4,0,0
295,8a0bb0221257fff,Новосибирск,0,0,0,0,0,1,0,0
296,8a0bb022125ffff,Новосибирск,0,0,0,0,0,2,0,0
297,8a0bb0221267fff,Новосибирск,0,0,0,0,0,1,0,1
298,8a0bb022126ffff,Новосибирск,0,0,0,0,0,0,0,0
299,8a0bb0221277fff,Новосибирск,0,0,0,0,0,2,0,0
300,8a0bb022128ffff,Новосибирск,0,0,0,0,0,0,0,0
301,8a0bb022129ffff,Новосибирск,0,0,0,0,0,0,0,0
302,8a0bb02212affff,Новосибирск,0,0,0,0,0,3,0,1
303,8a0bb02212c7fff,Новосибирск,0,0,0,0,1,0,0,0
304,8a0bb02212cffff,Новосибирск,0,0,0,0,0,0,0,0
305,8a0bb02212d7fff,Новосибирск,0,0,0,0,0,2,0,0
306,8a0bb02212dffff,Новосибирск,0,0,0,0,2,5,0,0
307,8a0bb02212e7fff,Новосибирск,0,0,0,0,0,0,0,0
308,8a0bb02212effff,Новосибирск,0,0,0,0,0,1,0,0
309,8a0bb02212f7fff,Новосибирск,0,0,0,0,0,1,0,0
310,8a0bb0221307fff,Новосибирск,0,0,2,0,0,0,0,0
311,8a0bb022130ffff,Новосибирск,0,0,0,0,0,0,0,0
312,8a0bb022131ffff,Новосибирск,0,0,1,0,0,0,0,2
313,8a0bb022132ffff,Новосибирск,0,0,0,0,0,0,0,0
314,8a0bb0221347fff,Новосибирск,0,0,0,0,0,1,0,0
315,8a0bb022134ffff,Новосибирск,0,0,0,0,0,1,0,0
316,8a0bb0221357fff,Новосибирск,0,0,0,0,0,0,0,1
317,8a0bb022135ffff,Новосибирск,0,0,0,0,0,0,0,1
318,8a0bb022136ffff,Новосибирск,0,0,0,0,0,0,0,0
319,8a0bb022160ffff,Новосибирск,0,0,0,0,0,0,0,0
320,8a0bb02216f7fff,Новосибирск,0,0,0,0,0,0,0,0
321,8a0bb0221887fff,Новосибирск,0,0,0,0,0,4,0,0
322,8a0bb022188ffff,Новосибирск,0,0,0,0,0,3,0,0
323,8a0bb022189ffff,Новосибирск,0,0,0,0,0,0,0,0
324,8a0bb02218a7fff,Новосибирск,0,0,0,0,0,0,0,0
325,8a0bb02218b7fff,Новосибирск,0,0,0,0,0,0,0,0
326,8a0bb02218dffff,Новосибирск,0,0,0,0,0,5,0,0
327,8a0bb0221907fff,Новосибирск,0,0,0,0,0,3,0,0
328,8a0bb0221917fff,Новосибирск,0,0,0,0,0,0,0,0
329,8a0bb0221927fff,Новосибирск,0,0,0,0,0,0,0,0
330,8a0bb022192ffff,Новосибирск,0,0,0,0,0,1,0,0
331,8a0bb0221987fff,Новосибирск,0,0,0,0,0,1,0,0
332,8a0bb0221997fff,Новосибирск,0,0,0,0,0,0,0,0
333,8a0bb022199ffff,Новосибирск,0,0,0,0,0,0,0,0
